dataset,category,run,stroke_count,num_svg_strokes,num_disconnected_strokes,disconnected_stroke_ratio,disconnected_stroke_percentage,num_disconnected_endpoints,disconnected_endpoint_ratio,threshold,samples_per_curve,svg_path
SDXL_normal,teapot_0,normal_24_strokes,24,24,6,0.25,25.0,8,0.16666666666666666,30.0,100,SDXL_normal/teapot_0/normal_24_strokes/final_svg.svg
SDXL_normal,teapot_0,normal_32_strokes,32,32,2,0.0625,6.25,4,0.0625,30.0,100,SDXL_normal/teapot_0/normal_32_strokes/final_svg.svg
SDXL_normal,teapot_1,normal_16_strokes,16,16,5,0.3125,31.25,6,0.1875,30.0,100,SDXL_normal/teapot_1/normal_16_strokes/final_svg.svg
SDXL_normal,teapot_1,normal_24_strokes,24,24,2,0.08333333333333333,8.333333333333332,2,0.041666666666666664,30.0,100,SDXL_normal/teapot_1/normal_24_strokes/final_svg.svg
SDXL_normal,teapot_1,normal_32_strokes,32,32,0,0.0,0.0,0,0.0,30.0,100,SDXL_normal/teapot_1/normal_32_strokes/final_svg.svg
SDXL_normal,teapot_2,normal_16_strokes,16,16,3,0.1875,18.75,4,0.125,30.0,100,SDXL_normal/teapot_2/normal_16_strokes/final_svg.svg
SDXL_normal,teapot_2,normal_24_strokes,24,24,1,0.041666666666666664,4.166666666666666,1,0.020833333333333332,30.0,100,SDXL_normal/teapot_2/normal_24_strokes/final_svg.svg
SDXL_normal,teapot_2,normal_32_strokes,32,32,1,0.03125,3.125,1,0.015625,30.0,100,SDXL_normal/teapot_2/normal_32_strokes/final_svg.svg
SDXL_normal,teapot_3,normal_16_strokes,16,16,5,0.3125,31.25,6,0.1875,30.0,100,SDXL_normal/teapot_3/normal_16_strokes/final_svg.svg
SDXL_normal,teapot_3,normal_24_strokes,24,24,1,0.041666666666666664,4.166666666666666,1,0.020833333333333332,30.0,100,SDXL_normal/teapot_3/normal_24_strokes/final_svg.svg
SDXL_normal,teapot_3,normal_32_strokes,32,32,5,0.15625,15.625,5,0.078125,30.0,100,SDXL_normal/teapot_3/normal_32_strokes/final_svg.svg
SDXL_normal,teapot_4,normal_16_strokes,16,16,4,0.25,25.0,5,0.15625,30.0,100,SDXL_normal/teapot_4/normal_16_strokes/final_svg.svg
SDXL_normal,teapot_4,normal_24_strokes,24,24,2,0.08333333333333333,8.333333333333332,3,0.0625,30.0,100,SDXL_normal/teapot_4/normal_24_strokes/final_svg.svg
SDXL_normal,teapot_4,normal_32_strokes,32,32,0,0.0,0.0,0,0.0,30.0,100,SDXL_normal/teapot_4/normal_32_strokes/final_svg.svg
SDXL_semantic,airplane_0,semantic_16_strokes,16,16,4,0.25,25.0,4,0.125,30.0,100,SDXL_semantic/airplane_0/semantic_16_strokes/final_svg.svg
SDXL_semantic,airplane_0,semantic_24_strokes,24,24,4,0.16666666666666666,16.666666666666664,4,0.08333333333333333,30.0,100,SDXL_semantic/airplane_0/semantic_24_strokes/final_svg.svg
SDXL_semantic,airplane_0,semantic_32_strokes,32,32,2,0.0625,6.25,3,0.046875,30.0,100,SDXL_semantic/airplane_0/semantic_32_strokes/final_svg.svg
SDXL_semantic,airplane_3,semantic_16_strokes,16,16,5,0.3125,31.25,5,0.15625,30.0,100,SDXL_semantic/airplane_3/semantic_16_strokes/final_svg.svg
